Mkt_Title,Level,Start_Date,Length,Hours_Per_Week,Mode_Of_Attendance,Location,Home_Fee,Mkt_Level,Is_the_course_for_me,What_is_learnt,What_is_involved,Options_on_completion,What_do_I_need_to_get_on_the_course,How_long_is_the_course,How_much_will_the_course_cost,Code,Occurrence,Mnemonic,Subject_Area
Hairdressing,1,04-Jun-07,6 weeks,16.5,Full Time Short,East Ham Campus,0,Level 1,"If you are interested in working in the Hairdressing profession and want to learn the basic skills, then this is the course for you.","Reception, customer care, and team work
Health and Safety regulations and practice
Basic practical hairdressing ","The course will also help to develop your written and spoken English and you will attend English classes as an integral part of the course. You will be assessed through written, oral and practical assignments and a portfolio of your work that is presented","NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate. With the full NewCAD Di",You should have NewCAD Entry Level 3 or GCSEs mainly grade F-G or equivalent. You will be invited to the college for an interview. This may include an assessment of your communication and numeracy skills if you have no formal qualification.,"The course starts on Monday 4 June 2007, and takes 6 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100073,06/07F,1S-NC-HAIR-1-6F-EH,Hairdressing and Beauty Therapy
Diploma in Indian Head Massage ,3,14-Sep-06,18 weeks,3,Part Time Day,East Ham Campus,102,Level 3,"If you are a hairdresser or beauty therapist wanting to develop your skill base or a novice interested in the art of therapeutic massage, then this is the course for you.","Massage techniques designed to promote relaxation, to relieve stress related muscle tension and improve blood flow to the head and neck areas 
Need to suport employment standards and health, safety and security in the work place","You will experience a variety of learning opportunites through practical demonstrations, theory input and hands on activities. You will be assessed practically and orally and be required to complete a range of written assignments. Your practical work will",You may wish to seek employment in the hair or beauty industry or pursue other areas of interest within holistic and complementary therapies.,"There are no pre-requisite qualifications, although anatomy and physiology is an advantage. You will need a strong committment to your course and be prepared to practice between sessions. You will have excellent interpersonal skills and a good level of sp","The course starts on Thursday 14 September 2006, and takes 18 weeks to complete studying part time day for 3 hours per week. You will study at the East Ham Campus.",The course fee is £102. If you are not eligible for the home student fee you will be charged the overseas fee of £510. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is y,C8302475,06/07A,1D-DIP-IHMAS-3,Hairdressing and Beauty Therapy
Hairdressing,2,12-Sep-06,6 weeks,16.5,Full Time Short,East Ham Campus,0,Level 2,"If you wish to study full-time and require help improving your basic skills, and you have an interest in the beauty industry then this is the course for you.","Health and safety; Providing a make-up treatment; Providing a manicure treatment; Providing a pedicure treatment; Providing a facial treatment; Providing a lash and brow treatment; Customer care and Reception.
You will also study basic skills in communic","You will be assessed by continuous assessment of practical, written and oral work and by producing a portfolio of evidence. All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commerci","To progress onto a NVQ Level 2 Beauty Therapy or Hairdressing courses, or work as a junior in a salon. Or you may choose to continue on one of the many other part-time beauty courses we offer.","You need to enjoy working with people, have good communication skills and a good level of English. You will be invited to College for an interview. This may include an assessment of your communication and numeracy skills if you have no formal qualificatio","The course starts on Tuesday 12 September 2006, and takes 6 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1203111,06/07A,1S-NC-HAIR-2-1A,Hairdressing and Beauty Therapy
NVQ2 Hairdressing,2,11-Sep-06,36 weeks,16.5,Full Time,East Ham Campus,967,Level 2,"If you want to pursue a career in Hairdressing and wish to study part time, then this is the course for you.","Reception, consumer care and team work; Health & Safety regulations and practice; Blow drying, setting and styling for lenghths of hair; Basic hair cutting techniques; Basic colouring techniques; Techniques in perming and relaxing hair; Effective communic","You will learn in a modern salon environment at the College. You will be assessed by continuous assessments of practical, written and oral work by producing a portfolio of evidence. All practical assessment will be carried out on paying clients who may be",To progress onto NVQ Level 3 in Hairdressing or work as professional Hairdresser in the Industry. Or you may choose to access one of our many Beauty Therapy courses.,Good communication skills and a good level of English. You will need to enjoy working with people. You will be invited to the college for an interview; this may include an assessment of your communication skills if you have no formal qualifcations.,"The course starts on Monday 11 September 2006, and takes 36 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.",The course fee is £967. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C5201247,06/07A,1F-NVQ-HAIR-2,Hairdressing and Beauty Therapy
Asian Bridal Make-Up,1,20-Apr-07,10 weeks,3,Part Time Day,East Ham Campus,75,Level 1,"If you want to learn about Asian Bridal Make-up techniques, then this is the course for you.","Appropriate jewellery and make-up
Bridal clothes
Eyelash extensions
Long hairstyles
Henna painting","You will learn through lectures and demonstrations; modern classroom and salon teaching; theoretical assignments and practical sessions with fellow students and clients. You will have access to the College's library and study centre, the FLEX,  the comput","You will achieve a NewCAD certificate on successful completion of the course, and will be qualified to progress onto part-time specialist courses including Cosmetic Make-up, Manicure/ Pedicure or modular equivalent.","No formal qualifications are required, but a good standard of English is essential, as communication skills are a vital component of the course. You will be invited to an interview and may be asked to take an English language assessment if you have no for","The course starts on Friday 20 April 2007, and takes 10 weeks to complete studying part time day for 3 hours per week. You will study at the East Ham Campus.",The course fee is £75. If you are not eligible for the home student fee you will be charged the overseas fee of £375. This course is free to UK/EU residents who are unemployed and in receipt of benefits. This course can be undertaken as a stand alone cour,C1101374,06/07E,1D-NC-ASIABM-1-1E,Hairdressing and Beauty Therapy
Beauty Therapy,1,30-Oct-06,6 weeks,17.5,Full Time Short,East Ham Campus,0,Level 1,"If you want to pursue a career in the beauty industry and wish to study full-time,and require help improving your basic skills, then this is the course for you.",Ensure your own actions reduce risks to health and safety; Assist with salon reception duties; Prepare and maintain the beauty therapy work area; Assist with facial treatments; Assist with nail treatments on the hand; Numeracy; Communication and Informati,"You will be assessed by continuous assessment of practical, written and oral work and by producing a portfolio of evidence. All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commerci","To progress onto an NVQ Level 2 Beauty Therapy or Hairdressing courses, or work as a junior in a salon. Or you may choose to continue on one of our many other part time beauty courses we offer.","You need to enjoy working with people, have good communication skills and a good level of English.  You will be invited to college for an interview; this may include an assessment of your communication and numeric skills if you have no formal qualificatio","The course starts on Monday 30 October 2006, and takes 6 weeks to complete studying full time for 17.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100071,06/07B,1S-NC-BTH-1-2B,Hairdressing and Beauty Therapy
Beauty Therapy,1,04-Jun-07,6 weeks,16.5,Full Time Short,East Ham Campus,0,Level 1,"If you want to pursue a career in the beauty industry and wish to study full-time,and require help improving your basic skills, then this is the course for you.",Ensure your own actions reduce risks to health and safety; Assist with salon reception duties; Prepare and maintain the beauty therapy work area; Assist with facial treatments; Assist with nail treatments on the hand; Numeracy; Communication and Informati,"You will be assessed by continuous assessment of practical, written and oral work and by producing a portfolio of evidence. All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commerci","To progress onto an NVQ Level 2 Beauty Therapy or Hairdressing courses, or work as a junior in a salon. Or you may choose to continue on one of our many other part time beauty courses we offer.","You need to enjoy working with people, have good communication skills and a good level of English.  You will be invited to college for an interview; this may include an assessment of your communication and numeric skills if you have no formal qualificatio","The course starts on Monday 4 June 2007, and takes 6 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1101584,06/07F,1S-NC-BTH-1-6F,Hairdressing and Beauty Therapy
Certificate in Nail Treatments - Nail Art,2,20-Feb-07,18 weeks,2.5,Part Time Evening,East Ham Campus,88,Level 2,"If you want to become qualified to work as a professional able to provide Nail Art treatments, then this is the course for you.",Health and safety regulations and professional practice; Hygiene and sterilisation; Manicure & Pedicure treatments; Anatomy & Physiology; Pre-care and after-care; Consultation and record-keeping.,"You will learn through lectures and demonstrations, modern classroom and salon teaching, theoretical assignments, as well as practical sessions with fellow students and clients. You will have access to the College's library and study centre, the FLEX and ","You will achieve a nationally recognised professional qualification that will enable you to gain appropriate employment or progress onto part-time specialist Beauty Therapy courses including Nail Technology and Pedicure, or onto full-time NVQ qualificatio",You must have a level 2 certificate in manicure and pedicure or an equivalent qualification. Good communication skills and a good level of English. You will be invited to the college for an interview. You need to attain a Level 1in the college assessment ,"The course starts on Tuesday 20 February 2007, and takes 18 weeks to complete studying part time evening for 2.5 hours per week. You will study at the East Ham Campus.",The course fee is £88. If you are not eligible for the home student fee you will be charged the overseas fee of £440. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is yo,C8200924,06/07D,1E-CERT-NAILNA-2,Hairdressing and Beauty Therapy
Facials,1,11-Sep-06,18 weeks,3,Part Time Evening,East Ham Campus,102,Level 1,"If you want to learn about facial massage techniques, to become qualified to practice facial massage professionally, then this is the course for you.","Reception, customer care and team work; Health and safety regulations and practice; Hygeine and sterilisation for the salon; Facials; Make-up; Lash and brow treatments; Manicure and peduicure; Pre-care and after-care; Consultation and record-keeping; Effe","You will enjoy learning in our modern salon enviroment. Assessment is through written, oral and practical assignments and a portfolio of your work that is presented at the end of the course. You will also be encourged to get a part-time work placement in ","NewCAD is the Newham College Access Diploma, which is by the Open college Network (OCN). To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate. You can progress on to NVQ Leve",You should have 4 GCSE's grade E or above (including English & Maths) or NewCAD Foundation Level Diploma or Foundation GNVQ or NVQ Level 1 or equivalent overseas qualifications. You will be invited to the college for an interview; this may include an asse,"The course starts on Monday 11 September 2006, and takes 18 weeks to complete studying part time evening for 3 hours per week. You will study at the East Ham Campus.",The course fee is £102. If you are not eligible for the home student fee you will be charged the overseas fee of £510. This course is free to UK/EU residents who are unemployed and in receipt of benefits. This course can be undertaken as a stand alone cou,C1101460,06/07A,1E-NC-FACIAL-1-1A,Hairdressing and Beauty Therapy
Beauty Therapy,1,16-Apr-07,6 weeks,16.5,Full Time Short,East Ham Campus,0,Level 1,"If you want to pursue a career in the beauty industry and wish to study full-time,and require help improving your basic skills, then this is the course for you.",Ensure your own actions reduce risks to health and safety; Assist with salon reception duties; Prepare and maintain the beauty therapy work area; Assist with facial treatments; Assist with nail treatments on the hand; Numeracy; Communication and Informati,"You will be assessed by continuous assessment of practical, written and oral work and by producing a portfolio of evidence. All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commerci","To progress onto an NVQ Level 2 Beauty Therapy or Hairdressing courses, or work as a junior in a salon. Or you may choose to continue on one of our many other part time beauty courses we offer.","You need to enjoy working with people, have good communication skills and a good level of English.  You will be invited to college for an interview; this may include an assessment of your communication and numeric skills if you have no formal qualificatio","The course starts on Monday 16 April 2007, and takes 6 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100488,06/07E,1S-NC-BTH-1-5E,Hairdressing and Beauty Therapy
