5014227,"4Sc AG",3100,"Healthcare and Life Sciences","In silico drug discovery
","http://www.4sc.com","","",7110111411004,"Germany",12/12/2000
5003517,"7(S)Personal GmbH",58,"Support Services","Temporary Employment Agency 
","http://www.7s-personal.de","","",7110111411004,"Germany",16/05/1997
19057188,"A & R Cambridge Ltd",4000,"Advanced Technologies","A & R Cambridge Ltd designs, manufactures and distributes award winning hi-fi separates and audio-video components under the brand name ARCAM.  Arcam's products are mainly sold through specialist independent retailers and the company is a market leader in the UK for CD players and stereo amplifiers.  About half of Arcam's production is exported to Europe, North America and Asia, including Japan.  In order to build a leading position in home cinema, the company has invested heavily in the design and manufacture of class leading DVD players and AV processors.","http://www.arcam.co.uk","","",85110105116115,"United Kingdom",01/04/1994
666112197,"A.S.A.C. Pharma Group",3100,"Healthcare and Life Sciences","ASAC PHARMA is a business group and ASAC Biotechnology and Investigation S.A, its holding company.
ASAC PHARMA is an international and independent biopharmaceutical company presently in Spain, Brazil, Argentina, Morocco, Mexico and Portugal.
ASAC pharma specializes in prescribed drugs with a strategic approach to various therapeutic areas: The central nervous system, self-immune diseases, neurodegenerating diseases, depression, psoriasis and oncology. 
The group has a commercial infrastructure in Spain, Mexico, Brazil, Portugal, Morocco and Argentina; The group has plans to expand to other markets.
Currently there are plans in the pipeline to develop 9 projects which include 4 advance phases clinics. 
ASAC PHARMA is a biotechnology company committed to the discovery, development and marketing of  “fitofarmacos” as well as the discovery and development of new therapeutic products and vaccines. 
There is a vast range of commercialized products for SNC infections, gastric and dermat","http://WWW.ASAC.NET",""," ",8311297105115,"Spain",27/09/2000
35000210,"Aardvark Holdings Ltd",21,"Aerospace and Defence","Manufacturer of land mine clearance equipment.  Land mine clearance contractors.","http://www.landmineclearance.com","","",85110105116115,"United Kingdom",07/07/1995
7134898,"ABA Holding AB",26,"Engineering and Machinery","ABA has three business areas: 
1.Sealing- and clamping products:
- Connectors, clamps etc for distribution, industry, automotive. 
ABA has a world leading position in this field. 
2.Automotive systems; 
-Vehicle manufacturers, air, fuel, colons, hose- & pipe systems.
Innovative, cost saving solutions. 
3.Automotive design and engineering services:
- For vehicle manufacturers 
","http://www.abagroup.com","","",83119101100107,"Sweden",14/08/2002
7129654,"Accra Teknik AB",4000,"Advanced Technologies","Development, design and production of roll formed, hardened safety parts for automotive applications. Accra have patented techniques for processes for forming and hardening of straight as well as curved profiles with yield strength of more than 1100 mPa. Products are bumpers, door beams, roof bows, body reinforcement, pillars and interior beams. Customers are automotive industry, heavy truck industry as well as their suppliers.","http://www.accra.se","","",83119101100107,"Sweden",22/12/2000
60100586,"Acompany plc",34,"Household goods and Textiles","Designers and manufacturers of fashion bags and accessories supplying UK high street retailers and worldwide export markets.  Design and supply of corporate promotional and incentive products.","http://www.acompany.co.uk","","",85110105116115,"United Kingdom",29/03/1996
5018627,"Actano AG",2500,"Software and IT Services","Actano is a leading provider of software and consulting services for cooperative project management in the automotive industry.","http://www.actano.com","","",7110111411004,"Germany",03/08/2000
7132525,"Adande Refrigeration",26,"Engineering and Machinery","The Company was formed to exploit the world wide value of the refrigeration technology which it has developed and patented.

Using only standard components, the company’s products revolutionise the way in which refrigeration can be used in the home, in catering establishments, and in industry.

The core technology, Adande® VariCool®, enables users to keep each of the contents of a refrigeration unit separate from each other, and at their own ideal temperatures, at any point between +15ºC and –20ºC.

It is also more energy efficient, more accessible, and up to twice as space efficient as conventional designs, which have not changed for 100 years.
","http://www.adande.com","","",85110105116115,"United Kingdom",31/07/2003
64105750,"ADAS Holdings Ltd",2500,"Software and IT Services","ADAS is a leading UK rural business consultancy, providing independent solutions on a strategic and technical level to organisations ranging from government to private sector companies involved in food, farming and environmental management.  We provide consultancy and business management services to businesses throughout England and Wales, from small rural enterprises to major organisations and corporations.  ADAS is closely involved with all aspects of the rural economy, environment and food chain and has a strong reputation for research-based consultancy.  Our research centres in England and Wales have pioneered many successful techniques now used across the agricultural and food supply industries.","http://www.adas.co.uk","","",85110105116115,"United Kingdom",02/04/1997
5005757,"Adco Umweltdienste GmbH & Co. Kg",58,"Support Services","rental of portable toilets
","http://www.dixi-online.de/FIRMEN/ADCO/index.php","","",7110111411004,"Germany",18/09/1995
60057061,"Addtron Ltd",4000,"Advanced Technologies","Addron Limited is a holding company principally engaged in sales and distribution of electronic components.  Group objectives are to develop long term, independent businesses that sell leading edge technology, offer dedication to major trading partners and focus on identified market segments.","http://www.addtron.co.uk","","",85110105116115,"United Kingdom",18/08/1995
7127633,"Aegis Analytical Corporation",2500,"Software and IT Services","Aegis Analytical Corporation is a provider of Manufacturing Enterprise Compliance software. Incorporated in 1996, the software enables pharmaceutical and biotechnology manufacturers to improve the quality and predictability of their manufacturing operation and reduce the costs and complexity of addressing regulatory compliance issues.","http://www.aegiscorp.com","http://www.3i.com/us/portfolio/software/aegis.html","",85110105116125,"United States of America",26/10/2001
7146764,"Trovix Inc",2500,"Software and IT Services","Trovix, Inc. is a leading provider of intelligent search technology. The company was founded in 2002 with the goal of solving one of the hardest problems in computerized search: How to evaluate documents and make decisions on information the same way a person would.  Initially being used by corporate staffing departments to identify the best candidates for open positions. Trovix uses concepts, context, and learning to provide automated human-like search results.  

With Trovix, companies can focus on recruiting better candidates faster, while reducing their cost per hire by up to 40%. Customers include Juniper Networks, Palm, Linksys, VMware, Rambus and Tellme","http://www.trovix.com","http://www.3i.com/us/ourportfolio/18FB1DB400934C7D8A4A53901DB3322E_ENG_HTML.html","",85110105116125,"United States of America",14/02/2005
